,recipe_id,ingredient_name,ingredient_amount,ingredient_unit,ingredient_remainder
2,79,chopped leaves,1,stalk,
3,79,thai noodles,200,grams,(packs straight-to-wok pad)
4,79,beansprouts,85,grams,
5,79,egg,1,,(beaten with a fork)
6,79,lime,1,,(plus wedges to serve)
7,79,fish sauce,1,Tbsp.,
8,79,sugar,2,tsp.,
9,79,roasted peanuts,1,Tbsp.,"(roughly chopped, to serve)"
0,80,whole wheat spaghetti,4,oz.,(or brown rice spaghetti for gluten-free*)
1,80,water,4,cups,
2,80,natural peanut butter,0.25,cup,
3,80,soy sauce,5,Tbsp.,(or tamari for gluten-free)
4,80,pure maple syrup,0.25,cup,
5,80,lime juice,2,Tbsp.,
6,80,fresh ginger,1,tsp.,"(minced, 1/2 inch knob)"
7,80,garlic,1,clove,(minced)
8,80,red cabbage,0.5,head,"(or green, shredded, about 4 cups)"
9,80,large carrot,1,,(shredded)
10,80,snow peas,2,cups,
11,80,green onions,3,,"(tender white and green parts only, chopped)"
12,80,chopped fresh cilantro,,,"(for garnish, optional)"
13,80,salted peanuts,,,"(Chopped, for garnish, optional)"
0,81,zucchinis,4,,"(large, spiralized)"
1,81,large carrots,1,,(spiralized)
2,81,canola oil,2,Tbsp.,
3,81,shrimp,0.5,,"(lamb, peeled and deveined)"
4,81,garlic,4,cloves,(minced)
5,81,green onion,0.5,cup,"(pieces sliced, optional)"
6,81,unsalted dry roasted peanuts,0.25,cup,(crushed or chopped)
7,81,low sodium soy sauce,2,Tbsp.,
8,81,dark brown sugar,2,Tbsp.,(or honey)
9,81,fish sauce,1,Tbsp.,(or Worcestershire sauce)
10,81,fresh lime juice,1,Tbsp.,
11,81,Sriracha sauce,1,Tbsp.,
0,82,noodle,1,pkg.,"(Rice, 200g)"
1,82,green onion,2,stalks,
2,82,shallot,1,,(chopped)
3,82,tamarind concentrate,2,Tbsp.,
4,82,brown sugar,2,Tbsp.,(or Palm Sugar)
5,82,dark soy sauce,0.5,Tbsp.,
6,82,fish sauce,2.5,Tbsp.,
7,82,chicken thigh,2,pieces,(cut into bite-sized pieces)
8,82,peeled shrimp,6,,
9,82,tofu,2,blocks,"(Marinated, cut into bite-sized pieces)"
10,82,egg,2,,
11,82,sprouts,1,cup,(Beat)
12,82,roasted peanuts,1,Tbsp.,(Crushed)
0,83,pad thai noodles,1,lb.,"(rice, I like Annie Chun’s)"
1,83,soy sauce,0.25,cup,
2,83,lime juice,0.25,cup,(the juice of one juicy lime)
3,83,peanut butter,2,Tbsp.,
4,83,Tahini,1,Tbsp.,
5,83,Sriracha,0.5,tsp.,(or more to make this a 5 star dish!)
6,83,liquid sweetener,0.25,cup,"(maple syrup, agave, etc.)"
7,83,garlic cloves,4,,(minced)
8,83,fresh ginger,1,piece,(minced)
9,83,canola oil,1,Tbsp.,(for frying)
10,83,vegetables,,,"(your choice of, to stir fry with, we like red cabbage, onions, carrots, and peas—you could use so many different vegetables)"
11,83,peanuts,,,(optional)
12,83,cilantro,,,(optional)
0,84,garlic,2,cloves,
1,84,peanut butter,1.5,Tbsp.,
2,84,limes,2,,
3,84,jalapeño,0.5,,(fresh)
4,84,dates,3,,
5,84,water,1,cup,
6,84,shredded carrots,1,cup,
7,84,red bell pepper,0.5,,(sliced)
8,84,red cabbage,1.5,cups,(shredded)
9,84,mung bean sprouts,0.5,cup,(save a little for topping)
10,84,green onions,2,,(diced)
11,84,rice noodles,1,box,(pad thai)
12,84,cilantro,,,"(for garnish, optional)"
13,84,chopped peanuts,,,"(for garnish, optional)"
0,85,rice noodles,250,grams,(flat)
1,85,garlic cloves,3,,(roughly chopped)
2,85,fresh coriander,1,handful,"(chopped, leaves and stalks seperated)"
3,85,red chilli,1,,"(seeds removed, roughly chopped)"
4,85,limes,2,,(juice and zest)
5,85,sunflower oil,2,Tbsp.,
6,85,cooked chicken breast,1,,(skin removed and thinly sliced)
7,85,spring onions,6,,(thinly sliced)
8,85,bean sprouts,100,grams,(/3½oz)
9,85,fish sauce,3,Tbsp.,
10,85,light brown sugar,1,Tbsp.,(soft)
11,85,large free range eggs,2,,(beaten)
12,85,salted peanuts,1,handful,"(roughly chopped, to serve)"
0,86,peanuts,1,cup,"(unsalted, roasted, skinless, roughly chopped)"
1,86,ginger,1,piece,(peeled and minced)
2,86,garlic cloves,2,,(chopped)
3,86,seeds,2,,"(bird's-eye chiles, and ribs removed chopped)"
4,86,"boneless, skinless chicken breasts",2,,
5,86,firm tofu,1,cup,"(cubed, 1/2 inch cubes)"
6,86,scallions,2,,(white and light green parts chopped)
7,86,iceberg lettuce,0.5,head,"(shredded, about 3 cups)"
8,86,seeds,2,,"(Thai Chiles, and ribs removed thinly sliced)"
0,87,rice noodles,8,oz.,(cooked according to package directions)
1,87,olive oil,3,Tbsp.,(divided)
2,87,carrots,0.75,cup,(peeled and finely diced)
3,87,green onions,5,,"(finely chopped, white and green parts separated)"
4,87,garlic,2,cloves,(crushed)
5,87,eggs,2,,(scrambled)
6,87,soy sauce,0.25,cup,"(gluten free, or Tamari sauce)"
7,87,brown sugar,3,Tbsp.,"(packed, or coconut sugar)"
8,87,lime juice,3,Tbsp.,(freshly squeezed)
9,87,Sriracha sauce,0.5,tsp.,(optional)
10,87,chopped peanuts,0.25,cup,(salted)
11,87,green onions,,,(chopped)
0,88,zucchini,4,,(medium)
1,88,coconut oil,1,tsp.,
2,88,eggs,2,,(whisked)
3,88,shredded carrots,1,cup,
4,88,green onions,4,,(chopped)
5,88,cilantro,3,Tbsp.,(chopped)
6,88,cashews,0.333333333,cup,(toasted and chopped)
7,88,lime wedges,4,,(for serving)
8,88,almond butter,0.333333333,cup,
9,88,coconut milk,0.25,cup,
10,88,lime juice,2,tsp.,
11,88,fresh ginger,1,inch,"(piece, peeled and minced)"
12,88,garlic,2,cloves,(minced)
13,88,apple cider vinegar,1,tsp.,
0,89,rice sticks,8,oz.,(dry skinny)
1,89,oil,2,Tbsp.,
2,89,garlic,2,cloves,(minced)
3,89,deveined shrimp,8,oz.,(shelled and)
4,89,tofu,2,oz.,"(fried, cut into pieces)"
5,89,eggs,2,,(lightly beaten)
6,89,bean sprouts,6,oz.,
7,89,chives,1,oz.,(or scallion cut into 2-inch lengths)
8,89,tamarind,2,Tbsp.,
9,89,warm water,0.333333333,cup,
10,89,fish sauce,3.5,Tbsp.,
11,89,tamarind juice,4,Tbsp.,(or 3 tablespoons Chinese rice vinegar or apple cider vinegar)
12,89,chili powder,1.5,tsp.,
13,89,sugar,2.5,Tbsp.,
14,89,water,3,Tbsp.,
0,90,spaghetti squash,1,,(large)
1,90,olive oil,,,
2,90,kosher salt,,,
3,90,fresh ground black pepper,,,
4,90,carrots,3,,
5,90,red pepper,0.5,,
6,90,garlic,4,cloves,
7,90,green onions,5,,
8,90,eggs,2,,
9,90,chopped fresh cilantro,0.5,cup,
10,90,sweet chili sauce,3,Tbsp.,
11,90,soy sauce,3,Tbsp.,
12,90,lime,1,,
13,90,Sriracha,,,(optional)
14,90,peanut oil,2,Tbsp.,
15,90,bean sprouts,1.5,cups,(divided)
16,90,roasted salted peanuts,0.5,cup,(chopped)
0,91,rice noodles,0.25,lb.,
1,91,low sodium soy sauce,2,Tbsp.,
2,91,peanut butter,1,Tbsp.,
3,91,chili sauce,1,Tbsp.,(sweet red)
4,91,garlic powder,0.25,tsp.,
5,91,ground ginger,0.25,tsp.,
6,91,hot sauce,0.25,tsp.,
7,91,bean sprouts,3,oz.,
0,92,rice noodles,350,grams,(flat)
1,92,reduced salt soy sauce,2,Tbsp.,
2,92,honey,3,tsp.,
3,92,lime juice,1.5,Tbsp.,
4,92,fish sauce,2,tsp.,
5,92,garlic,2,cloves,(sliced)
6,92,red chilli,1,,"(large, seeded, chopped)"
7,92,prawns,350,grams,(peeled)
8,92,green onions,6,,(thickly sliced)
9,92,snow peas,2,cups,
10,92,small carrots,2,,(chopped)
11,92,red capsicum,1,,(chopped)
12,92,eggs,2,,(lightly beaten)
13,92,sprouts,,,
14,92,coriander,,,
15,92,peanuts,,,"(chopped raw, to serve)"
0,93,pad thai noodles,300,grams,"(dry rice, see note below)"
1,93,deveined shrimp,0.5,lb.,(shelled and)
2,93,eggs,3,,
3,93,small carrot,1,,(julienned)
4,93,green onion,2,stalks,"(cut into 2"" lengths)"
5,93,garlic cloves,3,,(minced)
6,93,light olive oil,2,Tbsp.,
7,93,water,1,cup,
8,93,tamarind paste,0.333333333,cup,(or lime juice)
9,93,oyster sauce,0.333333333,cup,(see note below for gluten-free version)
10,93,coconut sugar,3,Tbsp.,
11,93,fish sauce,3,Tbsp.,
12,93,soy sauce,3,Tbsp.,(tamari or liquid aminos for gluten-free)
13,93,bean sprouts,,,
14,93,chopped peanuts,,,
15,93,dried chili flakes,,,(or chili powder)
16,93,lime wedges,,,
17,93,green onion,,,(Chopped)
0,94,brown rice noodles,4,oz.,(rice sticks)
1,94,extra virgin olive oil,2,tsp.,
2,94,large shrimp,8,oz.,"(or medium, peeled and deveined, you can use either fresh shrimp or thawed frozen shrimp—if using thawed, lightly pat the shrimp dry prior to cooking)"
3,94,garlic,2,cloves,(minced)
4,94,large eggs,3,,
5,94,bean sprouts,0.5,cup,
6,94,grated carrots,0.5,cup,(freshly)
7,94,green onions,2,,"(large or 3 small, finely chopped)"
8,94,chopped peanuts,0.25,cup,(finely)
9,94,chopped fresh cilantro,0.25,cup,
10,94,lime wedges,,,(for serving)
11,94,fish sauce,2,Tbsp.,"(**, gluten free if needed)"
12,94,rice vinegar,1.5,Tbsp.,(I used seasoned)
13,94,low sodium soy sauce,1,Tbsp.,
14,94,water,2,Tbsp.,
15,94,honey,1,Tbsp.,(plus additional 1-2 teaspoons to taste)
16,94,chili garlic sauce,3,tsp.,
0,95,rice noodles,2,cups,
1,95,sesame oil,1,Tbsp.,
2,95,garlic cloves,2,,(chopped)
3,95,fresh ginger,2,Tbsp.,(chopped)
4,95,onion,0.5,cup,(thinly sliced)
5,95,carrot,0.5,cup,(thinly sliced)
6,95,green beans,0.5,cup,(thinly sliced)
7,95,red bell pepper,0.5,cup,(thinly sliced)
8,95,coconut milk,0.5,cup,
9,95,peanuts,0.25,cup,(chopped)
10,95,curry powder,1,Tbsp.,
11,95,salt,,,
12,95,pepper,,,
13,95,cilantro,2,Tbsp.,(chopped)
14,95,scallions,0.25,cup,(thinly sliced)
15,95,black sesame seeds,1,Tbsp.,
0,96,rice noodles,8,oz.,
1,96,salted peanuts,0.25,cup,(chopped)
2,96,teas,0.5,,(freshly zested lime peel)
3,96,fish sauce,3,Tbsp.,
4,96,fresh lime juice,2,Tbsp.,
5,96,dark brown sugar,2,Tbsp.,(packed)
6,96,rice vinegar,4.5,,(teas)
7,96,siracha,1,Tbsp.,
8,96,vegetable oil,3,Tbsp.,
9,96,boneless skinless chicken breasts,1,lb.,(cut into bite size strips)
10,96,garlic cloves,6,,(minced)
11,96,egg,1,,(lightly beaten)
12,96,bean sprouts,1,cup,(fresh)
13,96,scallions,0.5,cup,(sliced)
14,96,fresh cilantro,2,Tbsp.,(snipped)
0,97,rice noodles,1,lb.,"(about 1/4"" wide)"
1,97,cooking oil,1,Tbsp.,(divided)
2,97,shrimp,1,lb.,(peeled and deveined)
3,97,egg,1,,(beaten)
4,97,garlic,2,cloves,(finely minced)
5,97,snow peas,0.25,lb.,(sliced diagonally lengthwise)
6,97,bean sprouts,8,oz.,
7,97,sauce,8,oz.,(prepared Pad Thai)
8,97,water,1,Tbsp.,
9,97,lime wedges,,,(optional)
10,97,peanuts,,,(optional)
11,97,sriracha hot chili sauce,,,(optional)
12,97,fresh cilantro,,,(optional)
0,98,lime juice,2,Tbsp.,
1,98,garlic,1,clove,"(minced, about 1 teaspoon)"
2,98,crushed red pepper flakes,0.5,tsp.,
3,98,coconut aminos,1,Tbsp.,
4,98,powdered ginger,0.25,tsp.,
5,98,rice vinegar,0.5,tsp.,
6,98,sunflower seed butter,0.25,cup,(I like Sunbutter; no sugar added)
7,98,ground cayenne pepper,1,dash,(optional)
8,98,coconut milk,0.25,cup,(canned)
9,98,large eggs,2,,
10,98,coconut aminos,2,tsp.,(or homemade substitute)
11,98,coconut oil,3,tsp.,
12,98,onion,0.5,,"(medium, thinly sliced, about 1/2 cup)"
13,98,snap peas,1,cup,(thinly sliced lengthwise)
14,98,spaghetti squash,2,cups,(cooked)
15,98,chicken thighs,8,oz.,"(grilled, diced)"
0,99,chili paste,1,Tbsp.,"(sambal oelek, red)"
1,99,brown sugar,0.25,cup,(packed)
2,99,water,2,Tbsp.,
3,99,lime,1,,(halved)
4,99,fish sauce,2,Tbsp.,
5,99,ginger,1.5,tsp.,(grated)
6,99,rice noodles,0.5,lb.,(bánh pho)
7,99,canola oil,4,tsp.,(divided)
8,99,extra firm tofu,1,pkg.,(cut into ½ inch cubes)
9,99,large egg whites,2,,
10,99,large egg,1,,
11,99,garlic,3,cloves,(minced)
12,99,red pepper,1,,"(or yellow, seeded and chopped)"
13,99,jalapeño,1,,"(large, seeded and chopped)"
14,99,green onions,0.75,cup,(chopped)
15,99,bean sprouts,2,cups,(fresh)
16,99,fresh cilantro,0.5,cup,(chopped and divided)
17,99,roasted peanuts,0.333333333,cup,(chopped)
0,100,rice sticks noodles,8,oz.,(dry skinny)
1,100,oil,2,Tbsp.,
2,100,garlic,2,cloves,(minced)
3,100,boneless chicken breast,8,oz.,"(skinless and, sliced)"
4,100,fried tofu,2,oz.,(cut into pieces)
5,100,eggs,2,,(lightly beaten)
6,100,bean sprouts,8,oz.,
7,100,scallion,1,stalk,(cut into 2-inch lengths)
8,100,roasted peanuts,1,Tbsp.,(crushed)
9,100,lime,1,,(cut into wedges)
10,100,fish sauce,3.5,Tbsp.,
11,100,Chinese rice vinegar,3,Tbsp.,(preferred or apple cider vinegar)
12,100,chili powder,1.5,tsp.,
13,100,sugar,2.5,Tbsp.,
14,100,water,3,Tbsp.,
0,101,shiitake mushrooms,,,(dried sliced)
1,101,rice stick noodles,,,(dried)
2,101,oil,,,
3,101,lemongrass,,,
4,101,kaffir lime leaves,,,
5,101,spring onions,,,
6,101,garlic,,,
7,101,mung bean sprouts,,,
8,101,red chilli,,,
9,101,soy sauce,,,
10,101,sweet chilli sauce,,,
11,101,lime juice,,,
12,101,sesame oil,,,
13,101,coconut milk,,,
14,101,roasted peanuts,,,
15,101,coriander,,,
0,102,vegetable stock,0.25,cup,
1,102,tamari sauce,3,Tbsp.,
2,102,rice vinegar,3,Tbsp.,
3,102,agave nectar,3,Tbsp.,
4,102,tamarind paste,2,Tbsp.,
5,102,cayenne pepper,1,,(+ teaspoon)
6,102,garlic,1,clove,(minced)
7,102,nori,0.5,sheet,"(/seaweed, optional)"
8,102,rice noodles,,,"(Pad Thai, 8-10 oz.)"
9,102,asparagus,12,,
10,102,carrots,2,,
11,102,red bell pepper,1,,
12,102,yellow summer squash,2,,
13,102,mung bean sprouts,1,cup,
14,102,green onions,3,,
15,102,tofu,8,oz.,
16,102,peanut oil,2,Tbsp.,
17,102,limes,3,,
18,102,cilantro,0.333333333,cup,
19,102,peanuts,,,(Crushed)
20,102,sauce,,,"(Pad Thai, above)"
0,103,wide rice noodles,6,oz.,
1,103,canola oil,0.25,cup,
2,103,large eggs,4,,(lightly beaten)
3,103,kale,1,bunch,(chopped)
4,103,lime juice,3,Tbsp.,
5,103,Asian sweet chili sauce,0.25,cup,
6,103,soy sauce,0.25,cup,(low sodium)
7,103,carrots,2,,(peeled and grated)
8,103,bean sprouts,1,cup,
9,103,dry roasted peanuts,0.25,cup,(chopped)
10,103,green onions,4,,(thinly sliced)
11,103,fresh cilantro,2,Tbsp.,(chopped)
0,104,rice noodles,4,oz.,(flat)
1,104,canola oil,3,Tbsp.,(divided)
2,104,chicken breast,0.5,lb.,(sliced into very thin strips)
3,104,red bell pepper,0.5,,(halved and thinly sliced)
4,104,carrots,0.75,cup,(shredded or julienned)
5,104,garlic cloves,2,,(minced)
6,104,egg,1,,(beaten)
7,104,green onion,1,,(chopped)
8,104,unsalted peanuts,0.25,cup,(roughly chopped)
9,104,Cilantro leaves,2,Tbsp.,(chopped)
10,104,packed brown sugar,2,Tbsp.,
11,104,low sodium soy sauce,1,Tbsp.,
12,104,fish sauce,1,Tbsp.,
13,104,lime juice,1,Tbsp.,
14,104,rice vinegar,1,Tbsp.,
15,104,smooth peanut butter,1,Tbsp.,
16,104,Sriracha,1,Tbsp.,(or another chili paste)
17,104,ground ginger,0.25,tsp.,
18,104,pepper,0.125,tsp.,
0,105,whole wheat spaghetti,400,grams,
1,105,vegetable broth,2,cups,
2,105,water,2,cups,(or 4 cups of water)
3,105,garlic,3,cloves,(very thinly sliced)
4,105,peanut butter,2,Tbsp.,(unsweetened)
5,105,dates,2,,"(finely chopped, or 1 tablespoon of sugar*)"
6,105,tamarind paste,1,Tbsp.,
7,105,soy sauce,1,Tbsp.,
8,105,red pepper flakes,1,tsp.,
9,105,ginger root,2,inches,(sliced very thinly)
10,105,carrot,1,,"(large, peeled and cut in ""julienne"")"
11,105,red bell pepper,1,,"(or green, sliced)"
12,105,onion,1,,"(small, sliced)"
13,105,broccoli florets,0.5,cup,(or small)
14,105,mushrooms,0.5,cup,
15,105,green onions,3,,(chopped)
16,105,roasted salted peanuts,0.25,cup,(chopped)
17,105,salt,,,
18,105,pepper,,,
19,105,roasted salted peanuts,0.25,cup,(chopped)
20,105,lemon,1,,
21,105,soy bean sprouts,0.5,cup,
22,105,coriander,1,handful,(finely chopped)
23,105,sriracha sauce,,,(or hot sauce)
24,105,hoisin sauce,,,
0,106,lime juice,3,Tbsp.,
1,106,low sodium soy sauce,2.5,Tbsp.,
2,106,rice vinegar,2.5,Tbsp.,
3,106,honey,8,tsp.,
4,106,cornstarch,1.5,tsp.,
5,106,eggs,6,,(beaten)
6,106,green onions,1,bunch,"(about 6 of, chopped, whites only, save the chopped greens for the topping!)"
7,106,garlic,4,cloves,"(minced, I love using the garlic twist below!)"
8,106,ground chicken,1,lb.,"(lean, or turkey)"
9,106,low sodium soy sauce,2,Tbsp.,
10,106,black pepper,,,
11,106,coleslaw mix,16,oz.,"(bagged, whatever size bag your store has!)"
12,106,onions,,,"(chopped greens, the leftover green part from above)"
13,106,cilantro,,,(or skip it if you hate it!)
14,106,Sriracha,,,(or chile-garlic paste if you prefer)
15,106,peanuts,,,(1/4 cup chopped or 28 whole)
16,106,lime wedges,,,
0,107,noodles,1,pkg.,(shirataki fettuccini)
1,107,fish sauce,1.5,Tbsp.,
2,107,liquid aminos,1.5,Tbsp.,
3,107,Swerve,2,Tbsp.,(or xylitol)
4,107,blackstrap molasses,0.25,tsp.,(optional**)
5,107,cayenne pepper,0.25,tsp.,(or red pepper flakes to taste)
6,107,fresh lime juice,3,Tbsp.,(to taste)
7,107,coconut oil,2,Tbsp.,(for cooking)
8,107,garlic,2,cloves,(minced or ran through a press)
9,107,shrimp,200,grams,"(fresh, or chicken)"
10,107,eggs,2,,(lightly beaten)
11,107,bean sprouts,30,grams,
12,107,green onions,3,,(finely sliced)
13,107,cilantro leaves,0.5,cup,"(fresh, torn)"
14,107,unsalted peanuts,35,grams,(lightly toasted & roughly chopped)
15,107,lime wedges,,,
0,108,silken tofu,12,oz.,(extra-firm light)
1,108,peanut butter,0.333333333,cup,(no-salt-added)
2,108,lime juice,3,Tbsp.,
3,108,garlic,4,cloves,(minced)
4,108,crushed red pepper,0.5,tsp.,
5,108,chopped onion,1,cup,
6,108,frozen mixed vegetables,16,oz.,
7,108,fresh baby spinach,4,cups,
8,108,brown rice noodles,8,oz.,(wide)
9,108,sea salt,,,(to taste)
10,108,cucumber,1,,"(medium, thinly sliced)"
11,108,shredded carrot,0.5,cup,
12,108,sliced scallions,0.25,cup,
13,108,Thai chile,1,,"(fresh, thinly sliced, optional)"
14,108,lime,,,(cut into wedges)
0,109,rice noodles,1,pkg.,
1,109,zucchini,1,,(chopped)
2,109,tofu,1,pkg.,
3,109,edamame,0.5,cup,
4,109,carrots,2,,(chopped)
5,109,garlic cloves,3,,(chopped)
6,109,green onions,2,,(chopped)
7,109,bean sprouts,0.5,cup,(or more)
8,109,peanuts,0.25,cup,(crushed)
9,109,canola oil,1,Tbsp.,(or oil of your choice)
10,109,cilantro,,,(optional)
11,109,soy sauce,3,Tbsp.,
12,109,fish sauce,1,Tbsp.,
13,109,rice vinegar,1,Tbsp.,
14,109,maple syrup,3,Tbsp.,(you can also use brown sugar or honey)
15,109,peanut butter,4,Tbsp.,
16,109,water,0.333333333,cup,
17,109,lime,1,,
0,110,spaghetti squash,6,cups,"(2 big squash, 1 small squash)"
1,110,extra firm tofu,14,oz.,(diced)
2,110,olive oil,1,Tbsp.,
3,110,red onion,1,,(large)
4,110,garlic cloves,4,,(minced)
5,110,shredded carrots,1,cup,
6,110,bean sprouts,1.5,cups,
7,110,green onions,1,bunch,(chopped)
8,110,unsalted peanuts,0.5,cup,"(chopped, plus 1 tbs. for garnish)"
9,110,fish sauce,3,Tbsp.,
10,110,apple cider vinegar,2,Tbsp.,
11,110,peanut butter,0.5,Tbsp.,(I used extra chunky!)
12,110,stevia,1,tsp.,(optional)
13,110,lime,1,,
14,110,red pepper flakes,2,tsp.,
15,110,garlic clove,1,,(minced)
0,111,chicken breast,1,lb.,
1,111,freshly ground pepper,,,
2,111,olive oil,1,Tbsp.,
3,111,honey,1,Tbsp.,
4,111,chili garlic sauce,2,tsp.,
5,111,rice wine vinegar,3,Tbsp.,
6,111,low sodium soy sauce,2,Tbsp.,
7,111,peanut butter,1,Tbsp.,(natural no added sugar)
8,111,water,0.25,cup,
9,111,medium zucchini,1,,"(spiralized, about 1 cup)"
10,111,medium carrots,2,,"(spiralized, about 1 cup)"
11,111,pad thai brown rice noodles,1,cup,(cooked)
12,111,bean sprouts,1,cup,
13,111,cabbage,1,cup,(thinly sliced)
14,111,lime,1,,(quartered)
15,111,unsalted peanuts,0.25,cup,"(dry roasted, crushed)"
16,111,chopped cilantro,2,Tbsp.,
0,112,soy sauce,6,Tbsp.,(or Tamari sauce if you’re gluten-free)
1,112,fish sauce,2,Tbsp.,
2,112,rice vinegar,2,Tbsp.,
3,112,brown sugar,3,Tbsp.,(or maple syrup)
4,112,peanut butter,8,Tbsp.,
5,112,water,0.666666667,cup,
6,112,lime,1,,
7,112,chicken breasts,2,,(large)
8,112,garlic,3,cloves,
9,112,green onions,6,,(chopped)
10,112,cabbage,0.5,,"(a head of, chopped)"
11,112,carrots,2,,(peeled and sliced)
12,112,mini sweet peppers sliced,4,,
13,112,chopped peanuts,0.25,cup,
14,112,rice noodles,1,container,(I use Annie Chun’s rice noodles)
15,112,toasted sesame oil,2,Tbsp.,
16,112,bean sprouts,,,(optional.  I couldn’t find these anywhere in my area.)
0,113,rice noodles,4,oz.,(uncooked thick)
1,113,uncooked small shrimp,0.5,lb.,(peeled and deveined)
2,113,canola oil,2,tsp.,
3,113,onion,1,,"(large, chopped)"
4,113,garlic clove,1,,(minced)
5,113,egg,1,,(lightly beaten)
6,113,coleslaw mix,3,cups,
7,113,green onions,4,,(thinly sliced)
8,113,rice vinegar,0.333333333,cup,
9,113,sugar,0.25,cup,
10,113,reduced sodium soy sauce,3,Tbsp.,
11,113,fish sauce,2,Tbsp.,(or additional reduced-sodium soy sauce)
12,113,chili garlic sauce,3,tsp.,
13,113,salted peanuts,2,Tbsp.,(chopped)
14,113,cilantro leaves,,,(Chopped fresh)
0,114,rice sticks,125,grams,"(Chang's Pad Thai dried, Note 1)"
1,114,tamarind puree,1.5,Tbsp.,(Note 2)
2,114,brown sugar,3,Tbsp.,(packed)
3,114,fish sauce,2,Tbsp.,(Note 3)
4,114,oyster sauce,1.5,Tbsp.,(Note 4)
5,114,vegetable oil,3,Tbsp.,
6,114,onion,0.5,,"(sliced, brown, yellow)"
7,114,garlic cloves,2,,(finely chopped)
8,114,chicken breast,150,grams,"(or thigh, thinly sliced)"
9,114,eggs,2,,(lightly whisked)
10,114,beansprouts,1.5,cups,
11,114,firm tofu,0.5,cup,"(cut into 3cm / 1 1/4"" batons, see photo)"
12,114,garlic chives,0.25,cup,"(cut into 3cm / 1 1/4"" pieces)"
13,114,chopped peanuts,0.25,cup,(finely)
14,114,lime wedges,,,(essential)
15,114,chilli pepper,,,"(Ground, optional)"
16,114,beansprouts,,,(More)
0,115,zucchinis,3,,(medium)
1,115,large carrots,3,,
2,115,green onions,2,,(chopped)
3,115,purple cabbage,1,cup,(shredded)
4,115,cauliflower florets,1,cup,
5,115,mung bean sprouts,1,cup,"(or radish sprouts, spicy, optional)"
6,115,peanuts,0.5,cup,"(crushed, optional)"
7,115,fresh coriander,0.5,cup,"(chopped, /cilantro, optional)"
8,115,Tahini,0.25,cup,
9,115,almond butter,0.25,cup,"(or cashew butter, peanut butter)"
10,115,tamari,0.25,cup,"(gluten-free, as required)"
11,115,agave,2,Tbsp.,(or maple syrup)
12,115,lime juice,2,Tbsp.,
13,115,garlic,1,clove,(minced)
14,115,ginger root,1,tsp.,(grated)
0,116,fish sauce,0.25,cup,(60 ml/ 2 fl oz)
1,116,coconut aminos,1,Tbsp.,"(or more fish sauce, 15 ml)"
2,116,Sriracha,1,Tbsp.,(or sambal olek - you can make your own Sriracha)
3,116,garlic,2,cloves,(crushed)
4,116,almond butter,4,Tbsp.,"(or almond butter, 64 g/ 2.3 oz)"
5,116,salt,,,
6,116,pepper,,,
7,116,erythritol,2,Tbsp.,"(or 5-7 drops liquid stevia, optional)"
8,116,chicken thighs,500,grams,"(boneless and skinless, 17.6 oz)"
9,116,shirataki noodles,2,,"(packs, 400 g/ 14.1 oz)"
10,116,large eggs,4,,
11,116,spring onions,2,,"(medium, 30 g/ 1.1 oz)"
12,116,bean sprouts,2,cups,(100 g/ 3.5 oz)
13,116,cilantro,0.25,cup,(chopped)
14,116,flaked almonds,0.25,cup,"(toasted, 15 g/ 0.5 oz)"
15,116,fresh lime juice,2,Tbsp.,(~ 1/2 lime + more for garnish)
16,116,ghee,1,Tbsp.,"(or extra virgin coconut oil, you can make your own ghee, 70 g/ 2.5 oz)"
17,116,red cabbage,2,cups,"(shredded, for garnish, 140 g/ 4.9 oz + 1.8 g net carbs per serving, optional)"
0,117,toasted sesame oil,2.5,Tbsp.,(divided)
1,117,sunflower butter,0.5,cup,(or sub creamy peanut butter if you aren't avoiding peanuts)
2,117,lime,0.5,,
3,117,coconut aminos,1,Tbsp.,(or sub soy sauce if you aren't avoiding soy)
4,117,raw honey,3,Tbsp.,
5,117,rice vinegar,1,tsp.,
6,117,coconut milk,0.5,cup,(for the sauce)
7,117,sweet potato,1,,"(spiralized, or julienned)"
8,117,carrots,2,,"(large, spiralized, or juilienned)"
9,117,diced red onion,0.25,cup,
10,117,red bell pepper,0.5,,"(stem and seeds removed, then diced)"
11,117,eggs,3,,
12,117,coconut milk,1,Tbsp.,
13,117,sunflower seeds,0.5,cup,
14,117,red cabbage,0.5,cup,(diced)
15,117,cilantro,0.25,cup,
0,118,rice noodles,7,oz.,(thin flat)
1,118,eggs,2,,
2,118,sesame oil,1,tsp.,
3,118,salt,,,
4,118,white pepper,,,
5,118,vegetable oil,1,Tbsp.,
6,118,chicken,0.5,lb.,(cut into thin strips)
7,118,shredded carrots,0.75,cup,
8,118,green onions,3,,(chopped and divided)
9,118,garlic,3,cloves,(pressed or minced)
10,118,dry roasted peanuts,0.5,cup,(finely minced and divided)
11,118,lime,1,,(cut into wedges)
12,118,chopped fresh cilantro,,,
13,118,brown sugar,0.25,cup,
14,118,rice vinegar,2,Tbsp.,
15,118,gluten,3,Tbsp.,"(free fish sauce, I like 2-1/2 T)"
16,118,gluten free tamari sauce,2,Tbsp.,"(low-sodium, dish will not be GF if using traditional soy sauce)"
17,118,Sriracha hot sauce,2,tsp.,(optional)
